condition,seed_id,n_gen,vendi
gemma_t10,9268430,51,3.2662198543548584
gemma_t10,9285053,51,3.3760592937469482
gemma_t10,9340391,51,3.724919080734253
gemma_t10,9345583,51,3.4284660816192627
gemma_t10,9385494,51,2.799314498901367
gemma_t10,9387600,51,2.610232353210449
gemma_t10,9397697,51,3.495436191558838
gemma_t10,9471817,51,4.567387580871582
gemma_t10,9471964,51,3.3378446102142334
gemma_t10,9483510,51,2.6579787731170654
gemma_t10,9524495,51,4.194547176361084
gemma_t10,9591035,51,3.1715586185455322
gemma_t10,9615470,51,4.306576728820801
gemma_t10,9626793,51,2.792825937271118
gemma_t10,9662636,51,4.092780113220215
gemma_t10,9700115,51,2.391946792602539
gemma_t10,9711750,51,3.4463436603546143
gemma_t10,9737200,51,3.350273847579956
gemma_t10,9751546,51,2.5888493061065674
gemma_t10,9752897,51,2.777590751647949
gemma_t10,9767487,51,2.548396587371826
gemma_t10,9768369,51,2.8413586616516113
gemma_t10,9778036,51,3.743513822555542
gemma_t10,9818013,51,3.6379053592681885
gemma_t10,9884935,51,3.3028435707092285
gemma_t10,9917468,51,2.307244300842285
gemma_t10,9963298,51,2.7238845825195312
gemma_t10,10076790,51,3.3496453762054443
gemma_t10,10103200,51,2.395291328430176
gemma_t10,10135300,51,2.387420177459717
gemma_t10,10186140,51,3.2816548347473145
gemma_t10,10202504,51,2.8540077209472656
gemma_t10,10281325,51,3.183281421661377
gemma_t10,10348155,51,2.9473493099212646
gemma_t10,10361075,51,3.311609983444214
gemma_t10,10366378,51,2.500589609146118
gemma_t10,10367294,51,2.517282009124756
gemma_t10,10401980,51,2.18192458152771
gemma_t10,10436313,51,2.516803503036499
gemma_t10,10480989,51,3.116947889328003
gemma_t10,10494183,51,2.832144260406494
gemma_t10,10509498,51,2.291934013366699
gemma_t10,10523208,51,3.0678391456604004
gemma_t10,10573012,51,2.4453227519989014
gemma_t10,10606201,51,2.833050489425659
gemma_t10,10643243,51,2.1378173828125
gemma_t10,10649571,51,3.7864205837249756
gemma_t10,10691183,51,4.177250862121582
gemma_t10,10728540,51,2.8222720623016357
gemma_t10,10898149,51,4.472684860229492
gemma_t10,10913456,51,2.633938789367676
gemma_t10,11004224,51,2.9190423488616943
